...1,farmID,farm,lon,lat,zone,biomass,Dw.in,Ds.in,Dw.out,Ds.out,Dw.self,Ds.self,Dw.f.in,Ds.f.in,Dw.f.out,Ds.f.out,avtemp,all_x,all_y,all_xy,all_xz,all_yz,all_xyz,r10xz_r90yz,r25xz_r75yz,r50xz_r50yz,r75xz_r25yz,r90xz_r10yz,r10z_r90xyz,r25z_r75xyz,r50z_r50xyz,r75z_r25xyz,r90z_r10xyz,r50z_r50xz,r50xz_r50xyz,leastDwin10_z_mostDwin90_xyz,leastDwin25_z_mostDwin75_xyz,leastDwin50_z_mostDwin50_xyz,leastDwin75_z_mostDwin25_xyz,leastDwin90_z_mostDwin10_xyz,leastDwin95_z_mostDwin5_xyz,leastDwin95_xyz_mostDwin5_z,leastDwout10_xyz_mostDwout90_z,leastDwout25_xyz_mostDwout75_z,leastDwout50_xyz_mostDwout50_z,leastDwout75_xyz_mostDwout25_z,leastDwout90_xyz_mostDwout10_z,leastDwout95_xyz_mostDwout5_z,all_z
47,10398,10398,10.116,64.092,6,2340,0.027847222,0.011554684,0.009791667,0.010359482,0.007083333,0.004724499,59,48,26,31,8.756811115,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,z,z,z,xz,xyz,xyz,xyz,z,z,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
48,10409,10409,11.389,64.644,7,5460,0.047222222,0.018101047,0.034097222,0.018100984,0.058333333,0.03870674,32,12,17,17,8.68904809,x,y,xy,xz,yz,xyz,yz,xz,xz,xz,xz,xyz,xyz,xyz,z,z,xz,xz,xyz,xyz,xyz,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
49,10410,10410,11.441,64.774,7,975,0.014444444,0.007285865,0.018055556,0.007285952,0.007986111,0.003529144,22,16,17,17,8.517218004,x,y,xy,xz,yz,xyz,yz,yz,xz,yz,xz,xyz,xyz,xyz,z,z,z,xz,xyz,z,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
50,10421,10421,11.913,64.929,7,3120,0.038402778,0.009904371,0.074027778,0.031079235,0.062291667,0.035462204,2,2,2,2,7.61808518,x,y,xy,xz,yz,xyz,yz,yz,xz,yz,xz,xyz,z,xyz,z,z,z,xz,xyz,xyz,z,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
51,10425,10425,12.072,65.127,7,5080,0.053055556,0.022199432,0.025138889,0.01195353,0.021388889,0.011839709,37,7,7,6,8.786257488,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,xyz,z,z,xz,xz,xyz,xyz,xyz,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
52,10582,10582,6.686,58.22,1,3120,0.014791667,0.020036386,0.022916667,0.017873211,0.005763889,0.017702641,8,9,50,25,9.826149199,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,z,xyz,z,z,z,xz,xz,xyz,z,z,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
53,10858,10858,12.442,65.109,7,2860,0.001944444,0.00250451,0.066805556,0.022085589,0.008680556,0.008652095,1,5,12,12,9.113283738,x,y,xy,xz,yz,xyz,yz,yz,yz,yz,xz,z,xyz,xyz,xyz,z,xz,xyz,z,z,z,z,z,z,xyz,z,z,z,xyz,xyz,xyz,z
54,10875,10875,12.536,65.734,8,3120,0.005208333,0.004041287,0,0.000910747,0.000277778,0.000227687,33,15,0,3,8.359875,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,xyz,z,z,xz,xyz,z,z,z,z,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
55,10876,10876,12.56,65.447,8,4680,0.016111111,0.008652073,0.006875,0.009221268,0.001527778,0.000853825,4,4,7,9,8.771990113,x,y,xy,xz,yz,xyz,yz,xz,yz,xz,xz,xyz,xyz,z,z,z,xz,xz,xyz,xyz,z,z,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
56,10877,10877,12.55,65.457,8,3120,0.020416667,0.018784131,0.004097222,0.007229053,0.001597222,0.002561475,4,5,5,8,8.412262198,x,y,xy,xz,yz,xyz,yz,xz,xz,yz,xz,xyz,z,z,z,z,z,xyz,xyz,xyz,z,z,z,z,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z
